"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","R-HSA-909733","Interferon alpha/beta signaling","8/27","77/11146",0.103896103896104,42.8898508898509,18.1756117310544,7.13750866487417e-12,1.41322671564509e-09,6.08566528268219e-10,"3659/8638/9021/3669/5770/3437/3433/8651",8
"1","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","8/27","147/11146",0.054421768707483,22.4661123708743,12.9099487498423,1.35794469637039e-09,1.34436524940668e-07,5.78913265294745e-08,"4792/330/1326/4791/148022/57162/7189/8651",8
"1","R-HSA-982772","Growth hormone receptor signaling","5/27","24/11146",0.208333333333333,86.0030864197531,20.5417729149679,2.32191906074871e-09,1.53246658009415e-07,6.59913838318055e-08,"9021/5770/8660/1154/8651",5
"1","R-HSA-168898","Toll-like Receptor Cascades","8/27","172/11146",0.0465116279069767,19.2006890611542,11.8538282149874,4.72452446629816e-09,2.33863961081759e-07,1.00706968886882e-07,"4792/330/1326/4791/148022/57162/7189/8651",8
"1","R-HSA-913531","Interferon Signaling","9/27","269/11146",0.033457249070632,13.8116480793061,10.4813115360384,7.78819862532756e-09,3.08412665562971e-07,1.32809281821375e-07,"3659/8638/9021/3669/2633/5770/3437/3433/8651",9
"1","R-HSA-877300","Interferon gamma signaling","6/27","96/11146",0.0625,25.8009259259259,12.0257293687495,8.91824500179401e-08,2.94302085059202e-06,1.26732955288652e-06,"3659/8638/9021/2633/5770/8651",6
"1","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","6/27","103/11146",0.058252427184466,24.0474649406688,11.579432958876,1.35996655593094e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/148022/57162/7189",6
"1","R-HSA-975155","MyD88 dependent cascade initiated on endosome","6/27","104/11146",0.0576923076923077,23.8162393162393,11.5192953901964,1.44088784002681e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/148022/57162/7189",6
"1","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","6/27","106/11146",0.0566037735849057,23.3668763102725,11.4015208398183,1.61465381318968e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/330/1326/4791/148022/7189",6
"1","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","6/27","108/11146",0.0555555555555556,22.9341563786008,11.2869518324777,1.80532154111797e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/148022/57162/7189",6
"1","R-HSA-166166","MyD88-independent TLR4 cascade","6/27","111/11146",0.0540540540540541,22.3143143143143,11.120792562727,2.12579002276211e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/330/1326/4791/148022/7189",6
"1","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","6/27","111/11146",0.0540540540540541,22.3143143143143,11.120792562727,2.12579002276211e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/148022/57162/7189",6
"1","R-HSA-937061","TRIF (TICAM1)-mediated TLR4 signaling","6/27","111/11146",0.0540540540540541,22.3143143143143,11.120792562727,2.12579002276211e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/330/1326/4791/148022/7189",6
"1","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","6/27","113/11146",0.0530973451327434,21.9193706981318,11.0136198428131,2.36437324107776e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/57162/7189/8651",6
"1","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","6/27","113/11146",0.0530973451327434,21.9193706981318,11.0136198428131,2.36437324107776e-07,3.12097267822265e-06,1.34395952650736e-06,"4792/1326/4791/57162/7189/8651",6
"1","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","6/27","116/11146",0.0517241379310345,21.3524904214559,10.857950333887,2.76322863348948e-07,3.21834864371128e-06,1.38589176044983e-06,"4792/1326/4791/57162/7189/8651",6
"1","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","6/27","116/11146",0.0517241379310345,21.3524904214559,10.857950333887,2.76322863348948e-07,3.21834864371128e-06,1.38589176044983e-06,"4792/1326/4791/57162/7189/8651",6
"1","R-HSA-449147","Signaling by Interleukins","9/27","473/11146",0.0190274841437632,7.85482734319944,7.50711189993607,9.79016496538823e-07,1.07691814619271e-05,4.63744656255232e-06,"4792/9021/1326/4791/57162/7189/8660/1154/8651",9
